epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,92037.6,0.46974,0.334,0.97383,0.99427,0.98951,0.99493,0.93985,0.37677,0.19651,0.81941,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,94475.9,0.47731,0.33165,0.97535,0.99795,0.99301,0.995,0.93714,0.37678,0.18768,0.82126,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,97799,0.46041,0.32541,0.96589,0.99968,0.99126,0.995,0.93408,0.39032,0.1956,0.8254,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,100390,0.44796,0.31921,0.96136,0.99977,0.99301,0.995,0.93705,0.38556,0.18854,0.82663,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
34,103061,0.44167,0.30894,0.96073,1,0.99284,0.995,0.94402,0.38267,0.18494,0.82531,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,105946,0.43744,0.31114,0.96155,1,0.99099,0.995,0.94609,0.36999,0.18407,0.81989,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
36,108459,0.44268,0.31416,0.95929,0.99973,0.99126,0.995,0.93862,0.37525,0.18654,0.82545,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
37,111041,0.43832,0.31202,0.9591,0.99997,0.99126,0.995,0.94287,0.36662,0.18459,0.81941,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
38,113821,0.42342,0.3031,0.95569,0.99974,0.99301,0.995,0.9454,0.36265,0.17604,0.82001,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
39,117662,0.42476,0.2971,0.94828,0.99805,0.99301,0.99498,0.9475,0.35645,0.17348,0.81665,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
40,120319,0.42485,0.29512,0.95331,0.9979,0.99301,0.99498,0.95002,0.36498,0.17256,0.82064,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
41,123347,0.38414,0.25476,0.9214,0.99806,0.99126,0.99498,0.94179,0.37184,0.1896,0.82116,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
42,126088,0.3743,0.23929,0.90921,0.99964,0.98951,0.99496,0.94852,0.35091,0.18319,0.81899,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
43,128602,0.37118,0.23632,0.90986,1,0.99038,0.995,0.9484,0.34231,0.17652,0.81508,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
44,131157,0.36187,0.22953,0.90233,0.99969,0.99126,0.995,0.95034,0.34779,0.17718,0.81748,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
45,133754,0.34962,0.2244,0.90535,0.99808,0.99301,0.99498,0.95544,0.34018,0.17029,0.81337,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
46,136371,0.34697,0.22087,0.89692,0.99987,0.99126,0.995,0.95715,0.33809,0.16827,0.81244,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
47,139118,0.33891,0.21614,0.89018,0.99965,0.99301,0.995,0.96023,0.33077,0.16459,0.81041,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
48,141594,0.34374,0.2191,0.89662,0.99952,0.99126,0.995,0.95817,0.33125,0.16459,0.80921,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
49,144201,0.33349,0.21044,0.89066,0.99971,0.99126,0.995,0.95987,0.3246,0.16527,0.80715,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
50,146936,0.33226,0.20785,0.88347,0.99979,0.99126,0.995,0.95838,0.32655,0.16482,0.80815,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
